CustomerID,Annual Income (k$),Spending Score (1-100),Cluster
703,27.2,56,2
704,16.3,62,2
705,59.1,37,0
706,32.5,59,2
707,85,36,0
708,15,45,2
709,88.4,30,0
710,54.9,56,2
711,27.4,55,2
712,47.7,58,2
713,48.3,78,2
714,49,49,2
715,87.2,35,0
716,36.4,47,2
717,41.7,54,2
718,37.9,59,2
719,39.3,56,2
720,63.1,34,0
721,15,64,2
722,21.4,75,2
723,77.4,41,0
724,37.8,64,2
725,40.6,51,2
726,48.1,58,2
727,48.3,52,2
728,37.7,45,2
729,30.6,61,2
730,37.1,44,2
731,33.8,50,2
732,65,45,0
733,20.5,63,2
734,83.9,21,0
735,58.3,56,0
736,39,59,2
737,94.8,22,1
738,86.1,14,1
739,89,30,0
740,15,58,2
741,42.1,54,2
742,42.8,49,2
743,50,29,0
744,54.7,43,0
745,32.8,54,2
746,57,53,0
747,35.9,49,2
748,20.9,78,2
749,16.9,43,2
750,45.9,64,2
751,66,39,0
752,95.5,19,1
753,57.2,47,0
754,75.1,41,0
755,92.4,23,1
756,90.9,6,1
757,125.5,1,1
758,95.2,9,1
759,41.8,55,2
760,15,74,2
761,54,38,0
762,108.3,20,1
763,25.1,52,2
764,77,31,0
765,105.3,16,1
766,47.1,35,0
767,108.2,1,1
768,40.8,67,2
769,32.6,65,2
770,90.2,12,1
771,96.9,26,1
772,82.1,15,1
773,86.4,45,0
774,45.6,50,2
775,91.8,5,1
776,95.7,14,1
777,90.1,7,1
778,43.2,68,2
779,81.9,9,1
780,76.4,54,0
781,27.8,54,2
782,116,1,1
783,23.4,41,2
784,129.6,1,1
785,92.7,17,1
786,30.9,52,2
787,90.2,23,1
788,116.1,1,1
789,93.1,13,1
790,103.9,3,1
791,112.5,1,1
792,77.1,11,1
793,120.9,6,1
794,42.6,45,2
795,84.3,46,0
796,39.5,52,2
797,124.5,1,1
798,107.4,1,1
799,30.6,68,2
800,94.5,11,1
801,121.1,1,1
802,42.4,52,2
803,92.6,26,1
804,121.4,1,1
805,16.5,61,2
806,99.2,17,1
807,30.4,74,2
808,116.8,1,1
809,118.2,1,1
810,124.7,1,1
811,93.4,1,1
812,104.7,1,1
813,102.9,1,1
814,50.1,44,2
815,99.6,2,1
816,25.3,57,2
817,102,28,1
818,16.9,64,2
819,24.6,52,2
820,15.7,73,2
821,79.3,17,0
822,42.9,56,2
823,96.9,5,1
824,32.8,49,2
825,53.5,48,0
826,79,30,0
827,106.8,5,1
828,47.3,47,2
829,100.3,1,1
830,104.8,1,1
831,79.3,33,0
832,37.1,52,2
833,19.9,58,2
834,111.4,1,1
835,15,54,2
836,104.6,1,1
837,93.9,22,1
838,108.9,1,1
839,111.2,1,1
840,118.6,1,1
841,74,43,0
842,89.7,8,1
843,71.9,41,0
844,101.9,41,1
845,104.4,10,1
846,120,1,1
847,129,1,1
848,92.6,1,1
849,81,28,0
850,59.5,37,0
851,108.4,7,1
852,32.4,80,2
853,34.7,48,2
854,74.6,34,0
855,62,44,0
856,44.1,56,2
857,45.9,54,2
858,38.7,66,2
859,15,37,2
860,112.5,1,1
861,60.3,36,0
862,81,46,0
863,90.6,1,1
864,37.2,25,2
865,124.7,1,1
866,104.7,3,1
867,29.2,47,2
868,82.2,23,0
869,124.2,1,1
870,113.6,1,1
871,79.1,26,0
872,99.6,22,1
873,39.6,26,2
874,132,1,1
875,43.8,41,2
876,128.9,1,1
877,95.6,11,1
878,116.1,18,1
879,97.5,4,1
880,46.1,52,2
881,49.1,56,2
882,26.9,78,2
883,32.4,52,2
884,95.5,9,1
885,74.1,20,0
886,15,39,2
887,129.1,1,1
888,125,1,1
889,125,1,1
890,128.9,1,1
892,75.3,55,0
893,109.6,6,1
894,98.6,14,1
895,32.7,57,2
896,103.5,1,1
897,24,74,2
898,31.6,51,2
899,109.2,23,1
900,80.3,10,1
901,100,7,1
902,33.9,70,2
903,102.2,1,1
904,45.3,66,2
905,36.9,54,2
906,114.1,1,1
907,144.1,1,1
908,97.1,1,1
909,113.5,3,1
910,110.5,9,1
911,97.9,6,1
912,27.5,60,2
913,62.5,64,0
914,72.3,44,0
915,28.9,58,2
916,100.8,19,1
917,95.7,27,1
918,29.1,59,2
919,48.7,40,2
920,102.3,13,1
921,25.2,69,2
922,103.4,1,1
923,78,46,0
924,80.5,30,0
925,109.1,5,1
926,104.9,8,1
927,72,36,0
928,104.5,18,1
929,97,18,1
930,50.9,49,2
931,127.7,1,1
932,96.2,7,1
933,102.4,1,1
934,112.3,1,1
935,117.4,1,1
937,101.6,1,1
938,99.5,1,1
939,111.5,1,1
940,85.6,2,1
941,110.4,1,1
942,42.4,47,2
943,115.1,1,1
944,112.8,1,1
945,23,62,2
946,99.9,21,1
947,29.6,43,2
948,35.6,66,2
949,104.8,15,1
950,20.5,54,2
951,118.8,1,1
952,106,1,1
953,82.8,32,0
954,15,76,2
955,45.1,57,2
956,118.4,14,1
957,104.9,1,1
958,110.8,1,1
959,46.5,49,2
960,86.4,33,0
961,83.4,13,1
962,114.8,1,1
963,20,63,2
964,90.4,1,1
965,92.8,15,1
966,125.7,1,1
967,45.3,37,2
968,100,6,1
969,111.2,1,1
970,34.6,42,2
971,127.9,1,1
972,96.7,6,1
973,25.1,66,2
974,63.3,42,0
975,94.2,7,1
976,15,63,2
977,107.4,1,1
978,69.5,46,0
979,92.8,23,1
980,17.5,57,2
981,115.5,1,1
982,122.6,1,1
983,115.1,1,1
984,106.8,6,1
985,48,47,2
986,101.2,5,1
987,15,61,2
988,15,74,2
989,53.1,37,0
990,92.8,19,1
991,105.2,12,1
992,100.1,6,1
993,73.8,44,0
994,36.9,72,2
995,133.3,1,1
996,82.6,40,0
997,67.7,26,0
998,45.7,59,2
999,107.8,1,1
